The num.41 descpters is : ,2010.73,1514.06,1461.98,1460.24,1771.86,1510.66,1503.95,1412.58,1864.09,1952.01,1520.42,1553.15,1857.5,1590.05,1468.8,2043.29,1997.7,1463.58,2085.94
The num.42 descpters is : ,1186.96,983.305,950.733,1015.92,1191.06,990.426,1031.03,967.621,1162.47,1294.3,1008.21,1022.28,1118.92,1115.12,1019.51,1188.35,1408.68,1107.16,1617.84
The num.43 descpters is : ,203.097,161.304,156.771,170.449,187.692,172.342,163.009,161.602,187.389,214.64,172.668,171.058,183.783,178.309,176.222,191.817,214.192,186.186,272.955
The num.44 descpters is : ,74.4915,59.9743,63.3891,60.1679,73.1942,60.9044,62.9754,61.4257,70.8937,78.3468,64.2503,60.1453,73.4736,68.9523,63.3769,72.0453,87.2363,67.1468,100.651
The num.45 descpters is : ,894.655,728.896,703.828,704.654,886.664,708.17,711.337,718.866,919.652,930.447,699.289,713.873,923.515,705.12,701.331,921.255,939.117,709.3,1110.87
The num.46 descpters is : ,960.215,739.862,792.065,763.444,971.512,768.78,755.752,790.801,949.455,984.365,773.261,752.346,994.293,784.547,786.765,930.577,1035.85,795.269,1173.63
The num.47 descpters is : ,18.848,15.9364,16.1096,16.1911,18.3791,16.0015,16.4255,16.4395,18.0089,20.3059,16.4597,16.949,18.4071,17.5039,16.9441,18.6879,21.7815,17.9278,27.1526
The num.48 descpters is : ,17.7858,13.8002,14.289,15.5216,17.2791,13.5491,14.3704,15.7933,17.8898,18.2218,14.2165,16.2488,18.2196,13.1812,16.2808,17.6261,18.667,15.0716,28.6277
The num.49 descpters is : ,139.247,110.723,87.6276,93.6434,111.012,123.709,86.6759,92.1712,109.137,135.295,97.9805,98.7152,107.955,94.5654,110.155,110.632,98.7794,104.098,126.015
The num.50 descpters is : ,22.1109,19.3083,18.7648,17.291,21.4598,19.4864,19.2925,17.6867,22.3492,24.0178,19.5367,17.8323,21.9928,20.2015,18.247,22.5148,24.8833,18.5208,27.3747
The num.51 descpters is : ,756.95,651.468,585.718,576.815,811.008,540.51,822.5,536.131,774.14,717.85,654.714,749.365,688.292,542.868,610.98,994.998,886.771,521.486,982.53
The num.52 descpters is : ,42.6297,33.1607,41.5026,33.7072,47.7408,34.7071,38.5255,38.3679,49.1459,42.3422,28.3015,36.7425,53.1439,31.357,30.7967,47.8878,49.7697,29.1966,37.1477
The num.53 descpters is : ,1005.71,777.079,785.601,665.405,914.292,805.459,752.511,708.53,931.878,1025.09,733.592,697.172,983.311,750.091,681.412,982.688,1037.19,712.02,1094.66
The num.54 descpters is : ,23.7839,18.5865,18.3976,20.7027,25.6884,18.7541,17.556,19.3798,26.8593,26.0703,17.9634,18.1643,26.4787,20.3713,18.3594,24.9133,26.781,19.7007,30.2885
The num.55 descpters is : ,22.5423,18.8576,18.6917,18.8642,20.3219,18.7252,19.1648,18.8325,21.179,23.4107,19.0463,20.2857,21.3468,19.7856,20.2006,22.8984,24.3409,21.0191,31.9157
The num.56 descpters is : ,22.7271,16.939,17.8866,18.4518,23.9068,17.3382,17.7362,17.6954,23.1728,22.732,18.2213,18.1279,22.2312,18.8424,18.7088,22.7447,24.8144,18.5658,29.6811
The num.57 descpters is : ,21329.3,19761,16961.2,14530.9,20577.4,19130,18091.6,16013.5,18730.7,22692.7,16776.7,17519.9,21407.1,17727.9,17302.6,23129.4,19030.9,17241.5,20016.2
