num,area,Width,Height,w/h,E,熵,MSA
146,1508.5,38.6436,49.754,0.776695,0.863971,,
147,270.5,8.39788,40.6487,0.206597,0.401758,,
148,315,9.2128,42.5833,0.216347,0.438108,,
149,651.5,19.3961,48.9837,0.395971,0.637148,,
150,13045.5,125.686,132.682,0.947271,0.90381,,
151,67,6.23893,14.428,0.432417,0.675146,,
152,80.5,6.93405,15.6368,0.443446,0.657872,,
153,548,18.9857,36.7401,0.516757,0.766748,,
154,775,23.6303,41.6534,0.567309,0.791693,,
155,959.5,26.8383,45.2694,0.592857,0.821442,,
156,1201,30.5118,49.9125,0.611305,0.809192,,
157,12654,60.3703,266.692,0.226367,0.440053,,
158,234.5,8.09489,36.5894,0.221236,0.427631,,
159,289,9.20333,39.3666,0.233785,0.447527,,
160,105,5.51923,24.5921,0.224431,0.434406,,
161,108.5,5.66129,24.5734,0.230383,0.439494,,
162,131,6.1047,26.7556,0.228165,0.471107,,
R_ALL,0.625504,,,,,,
